'Python: быстрый старт', 'https://www.piter.com/'
'Секреты Python Pro', 'https://www.piter.com/page/how-to-buy-digit-book'
'Современный скрапинг веб-сайтов с помощью Python. 2-...', 'https://www.piter.com/page/o-kompanii'
'Python. Лучшие практики и инструменты', 'https://www.piter.com/blog'
'Основы Data Science и Big Data. Python и наука о данных', 'https://www.piter.com/page/avtoru'
'Python для сложных задач: наука о данных и машинное ...', 'https://www.piter.com/page/rights'
'Простой Python. Современный стиль программирования. ...', 'https://www.piter.com/client_account/login'
'Классические задачи Computer Science на языке Python', 'https://www.piter.com/client_account/contacts/new'
'Изучаем Python: программирование игр, визуализация д...', 'https://www.piter.com/cart_items'
'Как устроен Python. Гид для разработчиков, программи...', 'https://www.piter.com#authors-catalog'
'Python. Экспресс-курс. 3-е изд.', 'https://www.piter.com#books-catalog'
'Прикладной анализ текстовых данных на Python. Машинн...', 'https://www.piter.com/collection/ot-a-do-g'
'Программируем на Python', 'https://www.piter.com/collection/ot-d-do-i'
'Python для сложных задач: наука о данных и машинное ...', 'https://www.piter.com/collection/ot-y-do-m'
'Чистый Python. Тонкости программирования для профи', 'https://www.piter.com/collection/ot-n-do-r'
'Путь Python. Черный пояс по разработке, масштабирова...', 'https://www.piter.com/collection/ot-s-do-f'
'Автостопом по Python', 'https://www.piter.com/collection/ot-h-do-ch'
'Паттерны разработки на Python: TDD, DDD и событийно-...', 'https://www.piter.com/collection/ot-sh-do-ya'
'Python и DevOps: Ключ к автоматизации Linux', 'https://www.piter.com/collection/biznes-literatura'
'Python, например', 'https://www.piter.com/collection/biznes-predprinimatelstvo'
'Python: Искусственный интеллект, большие данные и об...', 'https://www.piter.com/collection/knigi-bakshta'
'Вероятностное программирование на Python: байесовски...', 'https://www.piter.com/collection/menedzhment'
'Глубокое обучение с подкреплением на Python. OpenAI ...', 'https://www.piter.com/collection/finansy'
'Обработка естественного языка. Python и spaCy на пра...', 'https://www.piter.com/collection/buhgalterskiy-uchet'
'Глубокое обучение: легкая разработка проектов на Python', 'https://www.piter.com/collection/upravlenie-personalom'
'Глубокое обучение на Python', 'https://www.piter.com/collection/torgovlya'
'Объектно-ориентированный подход. 5-е межд. изд.', 'https://www.piter.com/collection/ekonomika'
'Регулярные выражения. 3-е изд.', 'https://www.piter.com/collection/marketing-reklama'
'Знакомство с PyTorch: глубокое обучение при обработк...', 'https://www.piter.com/collection/kopirayting'
'Обработка естественного языка в действии', 'https://www.piter.com/collection/reklama'
'Эффективный Spark. Масштабирование и оптимизация', 'https://www.piter.com/collection/self-menedzhment'
'Программируем с PyTorch: Создание приложений глубоко...', 'https://www.piter.com/collection/prodazhi'
'Head First. Изучаем Go', 'https://www.piter.com/collection/delovoy-bestseller'
'Грокаем глубокое обучение', 'https://www.piter.com/collection/liga-nastavnikov'
'Data Science. Инсайдерская информация для новичков. ...', 'https://www.piter.com/collection/kompyutery-i-internet'
'Прагматичный ИИ. Машинное обучение и облачные технол...', 'https://www.piter.com/collection/biblioteka-programmista'
'Data mining. Извлечение информации из Facebook, Twit...', 'https://www.piter.com/collection/sovershennyy-algoritm'
'Head First. Kotlin', 'https://www.piter.com/collection/bestsellery-oreilly'
'Глубокое обучение в картинках. Визуальный гид по иск...', 'https://www.piter.com/collection/head-first-oreilly'
'BPF для мониторинга Linux', 'https://www.piter.com/collection/operatsionnye-sistemy'
'Машинное обучение', 'https://www.piter.com/collection/windows-ustanovka-i-nastroyka'
'Разработка с использованием квантовых компьютеров', 'https://www.piter.com/collection/linux'
'Глубокое обучение на R', 'https://www.piter.com/collection/razrabotka-i-realizatsiya-operatsionnyh-sistem-teoreticheskie-knigi-i-uchebniki'
'Эффективный C. Профессиональное программирование', 'https://www.piter.com/collection/programmirovanie-razrabotka-programnogo-obespecheniya'
